Key,Id,English(en),Japanese(ja),Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),French(fr),German(de),Italian(it),Portuguese(pt),Spanish(es)
name_wallplant_a,,,,,,,,,,
name_pergola_small,,Pergola (Small),パーゴラ（小）,,,,,,,
name_vendingmachine,,Vending Machine,自動販売機,,,,,,,
,,,,,,,,,,
name_snake_plant,,snake plant,サンスベリア,,,,,,,
name_monstera,,monstera,モンステラ,,,,,,,
name_pachira,,pachira,パキラ,,,,,,,
name_areca_palm,,areca palm,アレカヤシ,,,,,,,
name_yucca,,yucca,ユッカ,,,,,,,
name_marigold,,marigold,マリーゴールド,,,,,,,
name_pansy,,pansy,パンジー,,,,,,,
name_hyacinth,,hyacinth,ヒヤシンス,,,,,,,
name_daffodil,,daffodil,スイセン,,,,,,,
name_tulip,,tulip,チューリップ,,,,,,,
name_gerbera,,gerbera,ガーベラ,,,,,,,
name_dahlia,,dahlia,ダリア,,,,,,,
name_poinsettia,,poinsettia,ポインセチア,,,,,,,
name_cyclamen,,cyclamen,シクラメン,,,,,,,
name_salvia,,salvia,サルビア,,,,,,,
,,,,,,,,,,
name_air_conditioner_outdoor_unit,,Air Conditioner Outdoor Unit,エアコン室外機,,,,,,,
name_ashtray,,Ashtray,灰皿,,,,,,,
name_bicycle,,Bicycle,自転車,,,,,,,
name_book_set_a_horizontal,,Book Set A (Horizontal),本セットA（横）,,,,,,,
name_cafe_table_square,,Square Café Table,カフェテーブル（四角）,,,,,,,
name_cardboard_boxes,,Cardboard Box,段ボール箱,,,,,,,
name_garden_shed_shelf,,Garden Storage Shelf,ガーデン物置棚,,,,,,,
name_laundry_pole,,Laundry Pole,物干しざお,,,,,,,
name_lidded_trash_can,,Trash Can,ごみ箱,,,,,,,
name_retro_fan,,Retro Electric Fan,レトロ扇風機,,,,,,,
name_shed_shelf_medium,,Storage Shelf (Medium),物置棚（中）,,,,,,,
name_small_refrigerator,,Refrigerator (Small),冷蔵庫（小）,,,,,,,
name_sofa_3_seater_armless,,Three-Seater Sofa (Armless),ソファ（3人掛け）（肘掛けなし）,,,,,,,
name_washing_machine,,Washing Machine,洗濯機,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
name_plant_pot_a,,plant pot A,植木鉢 A,,,,,,,
name_plant_pot_b,,plant pot B,植木鉢 B,,,,,,,
name_plant_pot_c,,plant pot C,植木鉢 C,,,,,,,
name_plant_pot_d,,plant pot D,植木鉢 D,,,,,,,
name_plant_pot_e,,plant pot E,植木鉢 E,,,,,,,
name_plant_pot_f,,plant pot F,植木鉢 F,,,,,,,
name_plant_pot_g,,plant pot G,植木鉢 G,,,,,,,
,,,,,,,,,,
name_chouzusha,,chouzusha,手水舎,,,,,,,
name_main_shrine,,main shrine,本殿,,,,,,,
name_torii_large,,torii large,鳥居（大）,,,,,,,
name_torii_medium,,torii medium,鳥居（中）,,,,,,,
name_jizou,,jizou,地蔵,,,,,,,
name_drum,,drum,太鼓,,,,,,,
name_komainu_a,,komainu A,狛犬A,,,,,,,
name_komainu_b,,komainu B,狛犬B,,,,,,,
name_offertory_box,,offertory box,賽銭箱,,,,,,,
name_bulletin_board_medium,,bulletin board medium,掲示板（中）,,,,,,,
name_bulletin_board_small,,bulletin board small,掲示板（小）,,,,,,,
name_ema_rack,,ema rack,絵馬かけ,,,,,,,
name_shrine_fence,,shrine fence,神社の柵,,,,,,,
name_shrine_stone_fence,,shrine stone fence,神社の石柵,,,,,,,
name_lantern_small,,lantern small,提灯（小）,,,,,,,
name_lantern_medium,,lantern medium,提灯（中）,,,,,,,
name_shrine_bench_three_seater,,shrine bench three seater,神社ベンチ（三人掛け）,,,,,,,
name_stone_lantern_super_large,,stone lantern super large,石灯篭（超大）,,,,,,,
name_stone_lantern_large,,stone lantern large,石灯篭（大）,,,,,,,
name_stone_lantern_medium,,stone lantern medium,石灯篭（中）,,,,,,,
name_stone_lantern_small,,stone lantern small,石灯篭（小）,,,,,,,
name_andon,,andon,行燈,,,,,,,
name_shrine_street_light,,shrine street light,神社の街灯,,,,,,,
name_shrine_stone_small,,shrine stone small,神社の石（小）,,,,,,,
name_shrine_stone_medium,,shrine stone medium,神社の石（中）,,,,,,,
name_stone_path_a,,stone path A,石畳A,,,,,,,
name_stone_path_b,,stone path B,石畳B,,,,,,,
